Эталон,developer,https://ekb.cian.ru/sale/flat/308412177/,Москва и Московская область,sale,flat,2,5,1,38.08,-1,0,5498522.0,,,,,Балтым-Парк
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/307103955/,Москва и Московская область,sale,flat,24,24,2,58.0,-1,0,37490000.0,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,Сердце Столицы
Залму Писарук,realtor,https://www.cian.ru/sale/flat/308532820/,Москва и Московская область,sale,flat,7,12,2,55.0,-1,0,13400000.0,Бирюлево Восточное,Лебедянская ,4,,
РКС Девелопмент,developer,https://krasnodar.cian.ru/sale/flat/308979071/,Москва и Московская область,sale,flat,2,7,1,41.7,-1,0,10491720.0,,,,,Anapolis Residence
Екатерина Сухий,realtor,https://www.cian.ru/sale/flat/308360046/,Москва и Московская область,sale,flat,4,9,2,43.1,-1,0,29500000.0,Аэропорт,Ленинградский проспект,54/1,Аэропорт,
OPN PARTNER,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/299929933/,Москва и Московская область,sale,flat,2,7,2,55.0,-1,0,8899000.0,с. Николо-Урюпино, Полковника Глазунова,15,,Лесобережный
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/306297927/,Москва и Московская область,sale,flat,3,18,1,34.1,-1,0,5901000.0,Верх-Исетский,,,Площадь 1905 года,Русь XXI ЖК
Point Estate Город,real_estate_agent,https://www.cian.ru/sale/flat/307575540/,Москва и Московская область,sale,flat,4,21,2,54.0,-1,0,59000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
ID 52825739,homeowner,https://www.cian.ru/sale/flat/307814530/,Москва и Московская область,sale,flat,7,15,2,46.5,-1,0,23900000.0,Хорошевский,Ходынский бульвар,20А,ЦСКА,Лайнер
СК10,developer,https://rostov.cian.ru/sale/flat/304874041/,Москва и Московская область,sale,flat,14,24,2,53.3,-1,0,9160000.0,Кировский,Красноармейская ,250,,Космос
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Москва и Московская область,sale,flat,39,41,2,56.9,-1,0,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
ID 883747,unknown,https://krasnogorsk.cian.ru/sale/flat/308858112/,Москва и Московская область,sale,flat,5,10,1,48.8,-1,0,8100000.0,,Строительная ,5,Павшино,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/305791387/,Москва и Московская область,sale,flat,6,23,2,52.3,-1,0,6892000.0,Кировский,,,Машиностроителей,Основинские кварталы ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308987029/,Москва и Московская область,sale,flat,9,12,2,53.34,-1,0,39975000.0,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308805101/,Москва и Московская область,sale,flat,4,6,1,35.1,-1,0,23000000.0,Басманный, Покровка,38С1,Курская,
СЗ Феникс,developer,https://rostov.cian.ru/sale/flat/305377450/,Москва и Московская область,sale,flat,15,19,2,42.1,-1,0,8129999.0,Советский,проспект Стачки,198В,,Times
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308882629/,Москва и Московская область,sale,flat,9,12,2,79.8,-1,0,48000000.0,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
ID 18111054,unknown,https://kotelniki.cian.ru/sale/flat/300511360/,Москва и Московская область,sale,flat,21,33,2,52.4,-1,0,11550000.0,, Сосновая,5к1,Котельники,
СК10,developer,https://rostov.cian.ru/sale/flat/303045403/,Москва и Московская область,sale,flat,24,25,1,33.37,-1,0,4110000.0,Советский,,,,Малина парк
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва и Московская область,sale,flat,13,41,1,41.5,-1,0,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
ID 116114838,homeowner,https://www.cian.ru/sale/flat/308719974/,Москва и Московская область,sale,flat,2,11,2,42.4,-1,0,12890000.0,,бульвар Веласкеса,7к1,Ольховая,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/301967067/,Москва и Московская область,sale,flat,22,28,2,48.1,-1,0,11409000.0,Центр, Свердлова,10,Динамо,Екатерининский парк
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/303387198/,Москва и Московская область,sale,flat,18,22,1,30.0,-1,0,11700000.0,,бульвар Андрея Тарковского,11,Рассказовка,Рассказово
ID 148596,homeowner,https://www.cian.ru/sale/flat/268629674/,Москва и Московская область,sale,flat,10,10,1,38.5,-1,0,11280000.0,Выхино-Жулебино,Жулебинский бульвар,6/11,Лермонтовский проспект,
ЭНКО,representative_developer,https://tyumen.cian.ru/sale/flat/301181335/,Москва и Московская область,sale,flat,2,12,2,52.68,-1,0,6460000.0,д. Патрушева, Петра Ершова,12,,ЖР 
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва и Московская область,sale,flat,3,20,1,59.0,-1,0,61800000.0,Пресненский, Костикова,4к6,Улица 1905 года,Lucky
Sminex,developer,https://www.cian.ru/sale/flat/293713880/,Москва и Московская область,sale,flat,2,14,2,85.6,-1,0,175450000.0,Якиманка,,,Боровицкая,Лаврушинский ЖК
